"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","WT"
"Xkr4",390.371043853941,0.258898406331139,0.303812978731278,0.852163746961362,0.394123214848955,0.663514527463318,"Xkr4",395.164259692966
"Gm37180",1.12959181715276,-0.401163185359624,3.39754093497544,-0.118074570119204,0.906008572585419,NA,"Gm37180",2.57237229455517
"Gm19938",3.71929845479026,-1.91739813506233,1.86427257907188,-1.02849666759402,0.30371625757618,NA,"Gm19938",4.10913915633828
"Rp1",2.11975176204232,-0.811805135181423,2.69104048630394,-0.301669610439942,0.762903936950484,NA,"Rp1",1.79149014920533
"Gm6123",2.04477145233636,0.263315858919518,2.51586040914653,0.104662348500029,0.91664373936393,NA,"Gm6123",2.49408597392888
"Mrpl15",494.918528684693,-0.581805877781378,0.262756248184858,-2.21424183744646,0.0268121472638466,0.161557449045135,"Mrpl15",543.520490656472
"Gm37144",0.827853528527276,0.0712653146473629,4.01803980137749,0.0177363386552147,0.985849191147227,NA,"Gm37144",0.799170449663106
"Lypla1",142.121661855953,-1.11180694545404,0.410991385952288,-2.70518308523165,0.00682667525442797,0.0705589208778832,"Lypla1",124.297576992763
"Tcea1",240.958312475011,-0.305604714023611,0.343891873408785,-0.8886651231224,0.37418308035659,0.648027202916902,"Tcea1",233.719146531823
"Gm6104",0.594299711853807,-1.64857873108688,4.29883862148828,-0.383493979710299,0.701353533196749,NA,"Gm6104",0.351297912361774
"Gm37277",7.22683721118309,1.99317807447057,1.39947745845635,1.42423020994499,0.154379842502046,NA,"Gm37277",8.61286195826817
"Rgs20",134.134976420452,0.995370273666054,0.468075370341474,2.12651708834819,0.0334602279343876,0.183817280561575,"Rgs20",144.095268164171
"Atp6v1h",2095.03397073296,-0.105158331725331,0.234203161135276,-0.449004749618181,0.653428230375078,0.841803130289885,"Atp6v1h",2536.76710430513
"Oprk1",0.473497858842747,0.229462171934984,4.30507410269385,0.0533004000538343,0.957492561459675,NA,"Oprk1",0.799170449663106
"Npbwr1",9.41384273421466,0.674957183267043,1.20509918471943,0.560084341459565,0.57542191045749,NA,"Npbwr1",7.06780995065168
"Rb1cc1",455.578362364394,-0.216121908493338,0.252211033686359,-0.856909015178535,0.391495170075125,0.661228162607875,"Rb1cc1",385.244214740004
"4732440D04Rik",33.8162751442844,-2.109748660455,0.614931443547564,-3.43086807902321,0.000601653114849071,NA,"4732440D04Rik",5.37289442638591
"Gm19026",4.01228587719875,0.666259980446048,1.59504270202391,0.41770667305687,0.676161592781255,NA,"Gm19026",0.447872537301332
"St18",10.7021962450051,0.614203191804645,1.17331702246703,0.523475906377984,0.600643113391062,NA,"St18",10.3146285985537
"Pcmtd1",348.879415440965,-0.0202890005890786,0.294458348192211,-0.068902786127954,0.945067000782953,0.977780526520166,"Pcmtd1",357.294887324767
"Gm38372",1.53498615303703,-1.26731882735069,3.10784898799914,-0.407780053742766,0.683435158687849,NA,"Gm38372",2.1427880615671
"Gm26901",6.60278833006154,-0.76943877219469,1.24742292322998,-0.616822697311323,0.537351679315021,NA,"Gm26901",4.17071319388138
"Sntg1",143.755274567661,0.22110993375507,0.367364259736473,0.601881995580305,0.54725268966408,0.777826658533839,"Sntg1",141.570504626853
"Rrs1",186.261099213512,0.0235787208001476,0.32469487745655,0.0726180868169157,0.942110033520945,0.976504937297581,"Rrs1",196.370317959147
"Adhfe1",52.4549205970244,0.00774926445041666,0.587038032634937,0.0132006173699409,0.989467737093872,0.996821293691334,"Adhfe1",25.1762657322671
"2610203C22Rik",6.16665133695307,-2.07721052112803,1.48995948566112,-1.39413892868794,0.163275655645684,NA,"2610203C22Rik",1.98306337785437
"Vxn",400.646281813142,0.732726807240393,0.411959441867292,1.7786382171972,0.0752990942700526,0.285581012850848,"Vxn",514.428616854493
"Mybl1",36.7908015053946,-0.266602651825631,0.606689731126732,-0.439438213879938,0.660344042293063,NA,"Mybl1",30.9924466236806
"Vcpip1",420.404184358511,0.0726568061238405,0.266595460383524,0.272535796443482,0.785210070964506,0.910239427331756,"Vcpip1",474.29452346869
"1700034P13Rik",3.16140351761835,0.750196869857847,1.88273439181288,0.398461340654368,0.690290149737507,NA,"1700034P13Rik",1.85306418674843
"Sgk3",39.8268490427711,-0.794741101315334,0.687963894580218,-1.15520757350249,0.248005434072515,NA,"Sgk3",23.4892303141517
"Mcmdc2",4.16167307226128,0.772859797753951,1.59920210670556,0.48327837645617,0.628898091464082,NA,"Mcmdc2",2.1595003446503
"Snhg6",406.5461758951,-1.33272157256897,0.284314829421474,-4.68748526160526,2.7658261276315e-06,0.00018976442973491,"Snhg6",252.095743850068
"Ppp1r42",4.67019807879595,-0.396559816787414,1.8401617133855,-0.215502699519722,0.829375407595808,NA,"Ppp1r42",3.5479797110142
"Cops5",1235.87136400874,-0.367467135672755,0.252116934835481,-1.45752658746445,0.144971077694057,0.396004911530811,"Cops5",1357.17938173699
"Cspp1",73.1126048161626,-0.534158723840495,0.42463981569258,-1.25791012547726,0.208424261370582,0.480372336277916,"Cspp1",56.2464516454745
"Arfgef1",736.930749634078,0.116317506687673,0.237354717803561,0.490057698300903,0.624093070666724,0.823401619440095,"Arfgef1",708.661465984365
"Cpa6",1.52308144391207,-1.40779404789809,3.13169311995593,-0.449531289936191,0.653048441438864,NA,"Cpa6",1.86977646983162
"Prex2",24.9200760341183,0.0393775757152626,0.819814394698313,0.0480323058120409,0.961690495997003,NA,"Prex2",36.2132124896712
"A830018L16Rik",220.925477873783,0.367183622754104,0.291435590826831,1.25991345707766,0.207700583639927,0.479582595082164,"A830018L16Rik",308.666579990143
"Sulf1",116.709075570274,0.495983342798573,0.612137829184021,0.810247821899388,0.417797757427606,0.682298870195078,"Sulf1",44.6090987506908
"Slco5a1",36.8146316589056,0.460448880519562,0.581478205004362,0.791859224570778,0.428442764764121,NA,"Slco5a1",46.17298609372
"Ncoa2",661.853025377915,0.236575840404293,0.255586771307065,0.925618486412462,0.354644282768174,0.631014934479391,"Ncoa2",716.363993637277
"Gm38376",1.22902890532953,-3.27274660871371,3.59130016615443,-0.911298542950302,0.36213809393754,NA,"Gm38376",1.24704298696444
