"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","WT"
"Xkr4",390.371043853941,0.323884486325691,0.436716404058621,0.74163572358554,0.458308073207321,0.717943303262162,"Xkr4",395.164259692966
"Gm37180",1.12959181715276,-3.33014959762164,2.24144054922188,-1.48571845850549,0.137353606140435,NA,"Gm37180",2.57237229455517
"Gm19938",3.71929845479026,-1.66702220620683,1.37693565003305,-1.21067546342258,0.226019809764273,0.505917692703846,"Gm19938",4.10913915633828
"Rp1",2.11975176204232,0.410429522826226,2.06828537508271,0.198439503450927,0.842701212644627,NA,"Rp1",1.79149014920533
"Gm6123",2.04477145233636,-0.978953000284187,1.68438895290524,-0.581191772004728,0.561111212452166,NA,"Gm6123",2.49408597392888
"Mrpl15",494.918528684693,-0.660177727946523,0.323142424355822,-2.04299305256057,0.0410531258651779,0.187261733387734,"Mrpl15",543.520490656472
"Gm37144",0.827853528527276,0.614043653064683,2.68090232866606,0.229043649408225,0.818834990424332,NA,"Gm37144",0.799170449663106
"Lypla1",142.121661855953,-0.443960962019542,0.416222064311186,-1.06664446718907,0.286132412583302,0.57025590615803,"Lypla1",124.297576992763
"Tcea1",240.958312475011,-0.157630990288647,0.34110755764799,-0.462115208984365,0.643998704085093,0.837345597715606,"Tcea1",233.719146531823
"Gm6104",0.594299711853807,0.128269297383428,2.91135977713764,0.0440582089478267,0.964858004843633,NA,"Gm6104",0.351297912361774
"Gm37277",7.22683721118309,0.182436515760434,0.964549094856905,0.189141762439266,0.849981710485503,0.940060490036842,"Gm37277",8.61286195826817
"Rgs20",134.134976420452,0.220363842121635,0.476385187838333,0.46257492413139,0.64366908614969,0.837345597715606,"Rgs20",144.095268164171
"Atp6v1h",2095.03397073296,-0.609514923088134,0.228841249102866,-2.66348363976178,0.00773361723915333,0.0624179025217245,"Atp6v1h",2536.76710430513
"Oprk1",0.473497858842747,0.308044780843503,4.24495603384848,0.0725672488447965,0.942150489617788,NA,"Oprk1",0.799170449663106
"Npbwr1",9.41384273421466,0.122089575488673,1.02477221066356,0.119138257476379,0.905165821493597,0.963565871957898,"Npbwr1",7.06780995065168
"Rb1cc1",455.578362364394,0.402354804042326,0.213725016778384,1.88258169355783,0.059757079191501,0.237355983548582,"Rb1cc1",385.244214740004
"4732440D04Rik",33.8162751442844,1.90970132420491,0.828751432064384,2.30431134151759,0.0212051727607489,0.123364651707763,"4732440D04Rik",5.37289442638591
"Gm19026",4.01228587719875,3.514902572645,1.50303232793884,2.33854089982555,0.0193592065629165,0.115565618873045,"Gm19026",0.447872537301332
"St18",10.7021962450051,0.39196966483997,1.1366974656464,0.344832003841118,0.730220671515691,0.884206938716394,"St18",10.3146285985537
"Pcmtd1",348.879415440965,0.0981559385644468,0.264579311397005,0.370988714295814,0.710645937553154,0.874837349773825,"Pcmtd1",357.294887324767
"Gm38372",1.53498615303703,-3.78459275040585,2.13761983373414,-1.77047045067629,0.0766488026776948,NA,"Gm38372",2.1427880615671
"Gm26901",6.60278833006154,0.263270017351327,0.951054928614055,0.27681894013733,0.781919137145077,0.909853464835434,"Gm26901",4.17071319388138
"Sntg1",143.755274567661,0.248705675525354,0.354742597973924,0.701087709640202,0.483248279889386,0.738600044569146,"Sntg1",141.570504626853
"Rrs1",186.261099213512,0.0407574869264495,0.250561062293832,0.162664887166919,0.870782294689772,0.95017839978755,"Rrs1",196.370317959147
"Adhfe1",52.4549205970244,1.7114711708442,0.539269390993552,3.1736849882968,0.00150516951845546,0.0194663941447534,"Adhfe1",25.1762657322671
"2610203C22Rik",6.16665133695307,0.420268920800457,1.55307185476948,0.270604943042277,0.786694893636885,0.912924556106001,"2610203C22Rik",1.98306337785437
"Vxn",400.646281813142,-0.0534288229307757,0.425498728989763,-0.125567526506198,0.900074269541267,0.962073802098774,"Vxn",514.428616854493
"Mybl1",36.7908015053946,0.388065720580191,0.512738736544582,0.756848845077359,0.449140425539047,0.7123846480032,"Mybl1",30.9924466236806
"Vcpip1",420.404184358511,-0.100944876259563,0.262211471565645,-0.384975057181248,0.700255895490593,0.869765753319024,"Vcpip1",474.29452346869
"1700034P13Rik",3.16140351761835,1.24140289656673,1.42766978488618,0.869530832485677,0.384556851353046,0.659903434208275,"1700034P13Rik",1.85306418674843
"Sgk3",39.8268490427711,0.302893946019821,0.748975964606476,0.40441076928145,0.68591068223173,0.863498506825448,"Sgk3",23.4892303141517
"Mcmdc2",4.16167307226128,1.7242232198922,1.37912004384887,1.25023432701349,0.211213960640261,0.48764922843658,"Mcmdc2",2.1595003446503
"Snhg6",406.5461758951,-0.00610462757503714,0.607021825752434,-0.0100566854700326,0.991976061183585,0.996637204572316,"Snhg6",252.095743850068
"Ppp1r42",4.67019807879595,-0.893631006880325,1.6667135582308,-0.536163519200567,0.59184554373402,0.80958333599509,"Ppp1r42",3.5479797110142
"Cops5",1235.87136400874,-0.533333552852659,0.281052962983327,-1.89762650851077,0.0577452998753088,0.233066614915468,"Cops5",1357.17938173699
"Cspp1",73.1126048161626,0.433115845752083,0.3072442813202,1.40967911230447,0.158634455102141,0.418349778760476,"Cspp1",56.2464516454745
"Arfgef1",736.930749634078,0.267669753197288,0.221128475325429,1.2104716626991,0.226097957973584,0.505917692703846,"Arfgef1",708.661465984365
"Cpa6",1.52308144391207,-0.77522052519661,2.1967823397681,-0.352889091997364,0.724171588753172,NA,"Cpa6",1.86977646983162
"Prex2",24.9200760341183,-0.654965010336205,0.710737884586978,-0.92152820968143,0.356774720163219,0.636810385165573,"Prex2",36.2132124896712
"A830018L16Rik",220.925477873783,-0.60244390770755,0.292554433560255,-2.05925406898156,0.0394699059997489,0.183091411088214,"A830018L16Rik",308.666579990143
"Sulf1",116.709075570274,2.23033191865129,0.716669814797916,3.1120773787301,0.00185775798152681,0.0224238470732093,"Sulf1",44.6090987506908
"Slco5a1",36.8146316589056,-0.385889845623951,0.438278081113303,-0.880468045866504,0.3786058082476,0.65510940903715,"Slco5a1",46.17298609372
"Ncoa2",661.853025377915,-0.10830567530449,0.270203952640398,-0.400829352221317,0.688545766842527,0.864606230746631,"Ncoa2",716.363993637277
"Gm38376",1.22902890532953,-1.54169328474638,2.59817089168345,-0.593376397865603,0.552929280698822,NA,"Gm38376",1.24704298696444
"Gm38120",1.78306278524006,-5.42095796865244,2.57667270447595,-2.1038597409891,0.0353906837018861,NA,"Gm38120",3.25825583619552
"Gm38380",1.49517608758046,-1.68901302019574,2.1531408373159,-0.784441496312549,0.432781097574255,NA,"Gm38380",4.10913915633828
"Tram1",210.897981828748,0.0530048002202388,0.23055246406813,0.229903421047694,0.818166817916818,0.92666752557036,"Tram1",175.868049902102
"Lactb2",150.476971658074,-0.547285368153361,0.308309770732789,-1.7751152253546,0.0758788635229493,0.271840337427746,"Lactb2",161.997901453999
"Gm5523",2.60520468243889,-2.0378812545714,1.24664341982473,-1.63469459042099,0.102113087089932,NA,"Gm5523",4.47714935178325
"Eya1",9.64694193885674,1.69999499879287,0.843525842466181,2.01534430032714,0.0438685862131996,0.19493991994983,"Eya1",4.05742628585863
"Gm9947",7.54071404350152,2.78498293596108,1.20516706416788,2.3108687739355,0.0208401043128212,0.121630460016649,"Gm9947",1.15046836202488
"Msc",36.1747970482657,1.22554021243854,0.673371651243977,1.8200056538978,0.0687581438836345,0.255884737997323,"Msc",17.0211374783637
"Gm37412",1.39581282486368,1.87719716084645,2.48856244491253,0.754329940437734,0.450651128393275,NA,"Gm37412",0.351297912361774
"Trpa1",0.372595635978729,2.03390203656379,4.28111572450888,0.475086908984949,0.634725028899997,NA,"Trpa1",0
"Kcnb2",97.7512632414981,0.0280076656197804,0.491844570430628,0.0569441390707204,0.954589693440496,0.98276417663859,"Kcnb2",106.41844202997
"Terf1",28.5791402656707,0.329164685525777,0.449376182842636,0.73249250426128,0.463868016168959,0.722354495320086,"Terf1",26.2165992287294
"Gm37509",0.987001383889778,-0.718140546664668,2.41543637958956,-0.297312962880313,0.766227585915774,NA,"Gm37509",0.799170449663106
"Sbspon",0.885304947591991,1.24011448316642,3.02639973902719,0.409765592817901,0.681977908318126,NA,"Sbspon",0.815882732746299
"4930444P10Rik",0.793701782305766,2.78798057053782,3.41522617878349,0.816338486703361,0.414306568009541,NA,"4930444P10Rik",0
"Rpl7",2340.08323022865,-0.424326249044285,0.339561500215357,-1.24963003395605,0.211434726504636,0.487697726526608,"Rpl7",2273.80433951605
"Rdh10",97.5135272708162,0.750806372753543,0.4363531179284,1.72063941313865,0.0853162768237087,0.291178934831165,"Rdh10",63.1258404099373
"Gm38249",1.11043261890656,-0.798376108950064,2.68116419462576,-0.297772180663296,0.765877048511177,NA,"Gm38249",0.702595824723547
"Stau2",855.553088770045,0.112238367407952,0.2259848410988,0.496663257863753,0.619426536519086,0.82503345176363,"Stau2",888.234287149499
"Ube2w",517.401190200749,-0.0321558539868699,0.230322979718413,-0.13961200930182,0.888966551507908,0.957098175779898,"Ube2w",487.119610356641
"Gm38342",1.2782600307317,1.6944844867362,2.51493981396002,0.673767410786689,0.500459196897433,NA,"Gm38342",0
"Eloc",699.447673966321,-0.282955539475675,0.300219654219942,-0.94249505486533,0.345939241742029,0.62740071337748,"Eloc",709.946880511951
"Tmem70",566.788831911294,-0.65839011003998,0.354971661669367,-1.85476808752477,0.0636293510140631,0.245865562136982,"Tmem70",625.25773136175
"Ly96",25.5856485891422,-0.46409742306915,0.880013994550315,-0.527375048514203,0.597933167179776,0.813046883419874,"Ly96",21.1684292645586
"Jph1",57.7229296561561,-1.11596675884602,0.501409740405485,-2.22565831677612,0.0260370767947327,0.141154365946034,"Jph1",89.5417509820496
"Gdap1",634.615495268802,0.0256751770311919,0.252959756460084,0.10149905815253,0.919154305184437,0.968943301354628,"Gdap1",674.405432444917
