"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","WT"
"Xkr4",126.384812938251,0.63554200468701,0.251968242654097,2.52230994665262,0.0116586931293232,0.265563663052853,"Xkr4",120.025720695807
"Gm37180",1.46105500065689,1.14359661811221,1.87934933222569,0.608506677551994,0.542851478522754,NA,"Gm37180",0.752002993761639
"Gm37363",2.06898881917559,-0.022095610894635,1.46556151185803,-0.0150765496472559,0.987971109507181,NA,"Gm37363",2.775638518097
"Gm37686",0.653574969727848,-0.718523346136624,3.22001663300129,-0.223142743665553,0.82342441227985,NA,"Gm37686",0.779444305218121
"Gm37329",1.66023741467393,2.36287123173507,2.02862508195858,1.16476487092124,0.244114182157157,NA,"Gm37329",0.882102246513295
"Gm38148",1.45415248501202,2.90485190695985,1.86421131370411,1.55822029702632,0.119181035108181,NA,"Gm38148",1.32315336976994
"Gm19938",27.7998229073694,-0.681350580659874,0.480658527271643,-1.41753561416546,0.156326389487141,0.723170776981695,"Gm19938",29.467421594662
"Gm10568",1.39345603423735,-1.14029516629677,1.90936799476482,-0.597210788817702,0.550366656964408,NA,"Gm10568",2.38038397008679
"Gm6085",2.4855190926364,-0.790085383449254,1.24085358609171,-0.636727324081619,0.524302472217116,NA,"Gm6085",2.67159574958706
"Gm6123",3.46210858987882,0.0480105362443266,1.07666275920912,0.044591991163132,0.964432526437418,NA,"Gm6123",3.10633047960672
"Mrpl15",859.173387459262,-0.0328655520188385,0.140568696821578,-0.233804202229706,0.815136987079773,0.973427868581087,"Mrpl15",949.56403796786
"Gm37144",9.17159699809389,-1.1785403175048,0.746258424316487,-1.57926567942499,0.114275130515252,NA,"Gm37144",13.4574232400542
"Lypla1",421.580495563473,-0.122184685554572,0.175846101738924,-0.694838750170182,0.487156360819752,0.906570078794441,"Lypla1",413.687862414559
"Tcea1",431.588062381752,-0.341547891696468,0.153500877528202,-2.22505497816269,0.0260775476135013,0.385129921936676,"Tcea1",439.530849556292
"Gm6104",1.29351310815964,-0.260878621964453,1.95566899080874,-0.133396102914415,0.893880127289314,NA,"Gm6104",1.76343701883205
"Gm37277",2.51541197435147,0.628225467644716,1.29843381044587,0.483833263267373,0.628504206195171,NA,"Gm37277",2.3693209659183
"Rgs20",145.948330325419,0.200209377556672,0.262128059141175,0.76378461051682,0.444995609279219,0.892163181774652,"Rgs20",150.429741703264
"Atp6v1h",3047.63438030592,-0.234543513099826,0.128529511620585,-1.82482225399091,0.0680278564768045,0.56228819060387,"Atp6v1h",3382.97173008447
"Oprk1",2.24523123775159,0.433563623851629,1.35840772687363,0.319170463531942,0.749597253239732,NA,"Oprk1",2.54326506114744
"Npbwr1",18.0709218622647,0.0940851226171654,0.463262374506759,0.20309251904461,0.839062718825181,0.979064024747256,"Npbwr1",15.3987931010358
"Rb1cc1",587.93482278248,-0.0307975862072335,0.156937712373569,-0.196240825365952,0.844421675218273,0.980707147043294,"Rb1cc1",575.691199936574
"4732440D04Rik",35.8494427245493,-0.0707233344638106,0.414747170686881,-0.170521559789504,0.864599980399074,0.985027534125613,"4732440D04Rik",31.232810346263
"Gm19026",2.01927200570904,0.361057644246651,1.2901617835021,0.279854549145436,0.779589098886418,NA,"Gm19026",2.6972684967315
"St18",8.27662074213814,0.339829940480529,0.696580891709834,0.487854238502551,0.625653090109629,NA,"St18",7.85843094312744
"Pcmtd1",471.901815324178,0.0295585061075439,0.181130670461818,0.163188851629491,0.870369743656008,0.985147198580845,"Pcmtd1",444.144086013249
"Gm38372",4.96214630103311,0.839611919788395,1.11274769189847,0.754539349666883,0.450525426496967,NA,"Gm38372",2.98431618440409
"Gm9826",0.928520015960122,-1.21384853635174,2.11840667600788,-0.573000713271555,0.566644211031512,NA,"Gm9826",1.87577313708095
"Gm26901",27.8150925178755,-0.36826734714843,0.42972164214142,-0.856990458551851,0.391450157801746,0.875547012405007,"Gm26901",22.4889832541045
"Sntg1",142.998466758923,0.241073622807205,0.208079926812949,1.15856260860719,0.246634517588142,0.807030541343287,"Sntg1",134.380522471064
"Gm37629",1.74147477910344,-1.62034077608871,1.61060962724811,-1.00604190405668,0.314395413050727,NA,"Gm37629",2.32726991148587
"Rrs1",210.187826425044,-0.210963809287261,0.184559588708085,-1.14306610002767,0.253011147937817,0.81426250125055,"Rrs1",226.618924621036
"Adhfe1",17.8732271382119,0.340945708115116,0.476599794285827,0.715371076955698,0.474379779564392,0.900623099628252,"Adhfe1",20.3826905057685
"2610203C22Rik",2.74199955489434,-1.32632341495186,1.37922258043992,-0.961645664566206,0.336227624857758,NA,"2610203C22Rik",3.4924989799504
"Vxn",1634.23432388861,-0.278527615518194,0.140733660916581,-1.97911156225297,0.0478034469756114,0.491298149123586,"Vxn",1743.31691707268
"Mybl1",148.754555328901,-0.119298382542932,0.245698000217008,-0.485548854437417,0.627287066530269,0.95026837767226,"Mybl1",127.720460370315
"Vcpip1",628.389202161604,-0.110174771460414,0.129350524493395,-0.851753573415468,0.39435087915883,0.876588735029948,"Vcpip1",601.579919809702
"1700034P13Rik",11.9348647049557,0.0279051174621818,0.607424068652294,0.0459400917782129,0.963357999276505,NA,"1700034P13Rik",8.44200392678599
"Sgk3",66.4116377743458,-0.20226089024146,0.307409635263056,-0.657952344494281,0.51056875382179,0.914596428411449,"Sgk3",58.7337610663941
"Mcmdc2",10.4853608810245,-0.490846356322711,0.602068759374902,-0.815266277613096,0.41491990727723,NA,"Mcmdc2",10.350350509986
"Snhg6",503.762394633281,-0.254508573718296,0.148745598536813,-1.71103263707872,0.0870750881176489,0.608621879531195,"Snhg6",598.934006810474
"Tcf24",6.54972438166651,1.62462993148209,1.0494154582038,1.54812845454252,0.121591372519805,NA,"Tcf24",2.07477262643431
"Ppp1r42",6.19281802269461,-0.62104888778606,0.775538905092569,-0.800796560569622,0.423249430497239,NA,"Ppp1r42",7.227232762261
"Cops5",1686.89559495999,-0.132223342638573,0.128969312909127,-1.02523103873352,0.305254186006655,0.83808232596265,"Cops5",1901.45506156342
"Cspp1",142.733160030133,-0.245692789815998,0.273108802203176,-0.899615053905212,0.368325143134714,0.864451410895996,"Cspp1",132.419601079592
"Arfgef1",673.396576719606,-0.015372060507647,0.124413121479337,-0.123556585711099,0.901666368584213,0.988937220480925,"Arfgef1",695.212941670068
"Gm37569",0.77438472242574,0.755649900205851,3.08508274095268,0.244936672256805,0.806505466020109,NA,"Gm37569",0
"Cpa6",1.20568129735993,-0.83619211180484,1.92976175719439,-0.433313650603455,0.664786922480578,NA,"Cpa6",1.49630476707152
"Prex2",8.53356841143561,0.357091427683369,0.693167604535921,0.515158852414119,0.606442019938157,NA,"Prex2",7.07482254608164
"A830018L16Rik",361.547984682657,0.190148064287099,0.184466519372487,1.03079987053444,0.302634678999932,0.837489420574925,"A830018L16Rik",327.380504496943
"Gm38178",1.74919167570384,-2.32908925304611,1.67364581174654,-1.39162613541008,0.164035640339764,NA,"Gm38178",2.4392222926375
"Gm2383",0.980112751155041,1.75726545843587,2.13483136177617,0.823140173926351,0.410428285386808,NA,"Gm2383",0.51962953681208
"Sulf1",164.685281173152,1.00881605688295,0.23269136022354,4.33542550060221,1.4547843983219e-05,0.00466535501452326,"Sulf1",156.346095891873
"Slco5a1",28.7872671282449,0.0434909444891559,0.394412016311691,0.110267797862392,0.912196995077901,0.990225767932791,"Slco5a1",35.6710643874079
"Ncoa2",630.082341207769,0.486436747332472,0.135705699623921,3.58449754638551,0.00033772773941077,0.0358648214801371,"Ncoa2",519.763956133449
"Gm38376",0.560706207617141,0.665010828110817,4.08522545287175,0.162784364237068,0.87068821958349,NA,"Gm38376",0
"Gm38120",2.9531183875306,0.317597294083914,1.27500813573231,0.249094327465996,0.803287817221128,NA,"Gm38120",2.13597164258426
"Gm38380",0.959204888143331,1.37937742320526,2.11159744348883,0.653238820428869,0.513602326944336,NA,"Gm38380",0.734239859258884
"Gm29570",1.42440146118706,0.410158879164871,1.80898361565948,0.226734435632434,0.820630248593902,NA,"Gm29570",0.596823123152746
"Tram1",418.179692559496,-0.189573547324785,0.157213239228267,-1.20583704181257,0.227880329848566,0.792816132022954,"Tram1",389.05346136194
"Lactb2",216.544666474543,-0.143879337746084,0.17387273504077,-0.827497984156903,0.407954864184447,0.880854150063174,"Lactb2",224.709967220043
"Gm38319",0.738451549021652,-1.25790353500018,2.89572596306069,-0.434400061002533,0.663997953464209,NA,"Gm38319",0.82149535965055
"Gm5523",7.44857548959977,0.0782396746002543,0.718667367885022,0.108867715575437,0.913307413644525,NA,"Gm5523",7.22725798599402
"Eya1",6.0734799666669,0.362939269541617,0.80717285677761,0.449642559823605,0.652968194941558,NA,"Eya1",6.008122161001
"Gm9947",4.57327585399439,-0.87079925357966,0.956931225903642,-0.909991470659089,0.362827007971462,NA,"Gm9947",7.29851891619497
"Msc",32.2144903975856,0.0778920244844041,0.348078612118084,0.223777106011844,0.822930744995053,0.975998148691398,"Msc",35.3232458647824
"Gm37412",1.72162019829865,1.35353552104115,1.81455062424016,0.745934284202147,0.45570711358171,NA,"Gm37412",1.50400598752328
