"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","WT"
"Xkr4",390.371043853941,-0.601914979587074,0.308568238057419,-1.9506705660194,0.0510962469115426,0.795028699765654,"Xkr4",395.164259692966
"Gm37180",1.12959181715276,-0.654579966168608,3.31496465424732,-0.197462125374375,0.84346591746287,NA,"Gm37180",2.57237229455517
"Gm19938",3.71929845479026,0.362436209565044,1.83239102665761,0.197794141257147,0.84320613021702,NA,"Gm19938",4.10913915633828
"Rp1",2.11975176204232,-0.815270245635934,2.90759766012687,-0.280393073916685,0.77917595023569,NA,"Rp1",1.79149014920533
"Gm6123",2.04477145233636,0.81048447974504,2.47003935758276,0.328126139875843,0.742816290400259,NA,"Gm6123",2.49408597392888
"Mrpl15",494.918528684693,0.0209636478624439,0.265802331389502,0.0788693152270518,0.937136570092057,0.996358573651404,"Mrpl15",543.520490656472
"Gm37144",0.827853528527276,-0.626274416822029,4.08977413002252,-0.153131785989017,0.878294349886211,NA,"Gm37144",0.799170449663106
"Lypla1",142.121661855953,0.138446718821512,0.422380571470519,0.327777194721598,0.743080131559751,0.990857204604815,"Lypla1",124.297576992763
"Tcea1",240.958312475011,0.0142729093339099,0.350384313375874,0.0407350123537029,0.967507148928528,0.998711975319929,"Tcea1",233.719146531823
"Gm6104",0.594299711853807,0.720091636421672,4.33641931192092,0.166056735897777,0.868112301120649,NA,"Gm6104",0.351297912361774
"Gm37277",7.22683721118309,-0.283983797347007,1.34123406908058,-0.211733211893192,0.832315176137601,NA,"Gm37277",8.61286195826817
"Rgs20",134.134976420452,-0.249090281303638,0.470548118594487,-0.529361974812827,0.596554371037432,0.988710444196098,"Rgs20",144.095268164171
"Atp6v1h",2095.03397073296,-0.102322512150671,0.234708110983568,-0.435956438496645,0.66286833547512,0.988710444196098,"Atp6v1h",2536.76710430513
"Oprk1",0.473497858842747,-1.77323842924172,4.36360158022943,-0.40637037929308,0.684470480443374,NA,"Oprk1",0.799170449663106
"Npbwr1",9.41384273421466,1.55627492826534,1.1083211983469,1.40417320410958,0.16026727906791,NA,"Npbwr1",7.06780995065168
"Rb1cc1",455.578362364394,-0.20678283731027,0.259470672710605,-0.796941076808713,0.425485253103585,0.984510702945204,"Rb1cc1",385.244214740004
"4732440D04Rik",33.8162751442844,1.90622410784011,0.783721419103033,2.43227256698149,0.0150044113040842,NA,"4732440D04Rik",5.37289442638591
"Gm19026",4.01228587719875,3.46027650105957,1.88687946188644,1.83386197738361,0.0666744849254722,NA,"Gm19026",0.447872537301332
"St18",10.7021962450051,-1.17375530697202,1.21933412532167,-0.962619910815977,0.335738301766947,NA,"St18",10.3146285985537
"Pcmtd1",348.879415440965,-0.442179402508913,0.300767194329853,-1.47017165051576,0.1415152706881,0.915698132876316,"Pcmtd1",357.294887324767
"Gm38372",1.53498615303703,1.37838925459468,2.88834622855409,0.477224385694473,0.633202348160998,NA,"Gm38372",2.1427880615671
"Gm26901",6.60278833006154,0.750720417719004,1.35322448691192,0.554764139268688,0.579055998695859,NA,"Gm26901",4.17071319388138
"Sntg1",143.755274567661,-0.236765912630673,0.377977163754663,-0.626402691312729,0.531050844745913,0.986508139534287,"Sntg1",141.570504626853
"Rrs1",186.261099213512,-0.480459179914829,0.33521580625645,-1.43328318935911,0.15177692411908,0.915698132876316,"Rrs1",196.370317959147
"Adhfe1",52.4549205970244,-0.440096431774098,0.653626938789588,-0.673314402538375,0.500747291901141,0.986508139534287,"Adhfe1",25.1762657322671
"2610203C22Rik",6.16665133695307,-0.344350383864174,1.91053987678558,-0.180237213600342,0.856966344562987,NA,"2610203C22Rik",1.98306337785437
"Vxn",400.646281813142,-0.811309754644029,0.414162539874918,-1.9589163107051,0.0501225885371785,0.795028699765654,"Vxn",514.428616854493
"Mybl1",36.7908015053946,-0.0460986737991682,0.644502796141837,-0.0715259484910335,0.942979173532573,NA,"Mybl1",30.9924466236806
"Vcpip1",420.404184358511,-0.45779673077223,0.270602972180027,-1.69176534568019,0.0906907234982173,0.874233197064098,"Vcpip1",474.29452346869
"1700034P13Rik",3.16140351761835,0.115886790318759,2.17766477125172,0.0532160835077236,0.957559740987065,NA,"1700034P13Rik",1.85306418674843
"Sgk3",39.8268490427711,0.473765308515879,0.738743999324728,0.641311887404755,0.521320067396685,NA,"Sgk3",23.4892303141517
"Mcmdc2",4.16167307226128,-0.284253729947475,1.94657111277428,-0.146027919597735,0.883899348019595,NA,"Mcmdc2",2.1595003446503
