"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","WT"
"Xkr4",126.384812938251,0.353390196468472,0.284641183648528,1.24152869215452,0.214410505592702,0.777900800059393,"Xkr4",120.025720695807
"Gm37180",1.46105500065689,1.70824850385978,1.86108434732053,0.917878067331668,0.358682705326735,NA,"Gm37180",0.752002993761639
"Gm37363",2.06898881917559,-0.746641103257576,1.48330196957371,-0.503364195944645,0.614708239613958,NA,"Gm37363",2.775638518097
"Gm37686",0.653574969727848,0.765614459693745,2.83983959249072,0.26959778352208,0.787469705719913,NA,"Gm37686",0.779444305218121
"Gm37329",1.66023741467393,0.129532137519586,2.00223179056702,0.06469387716739,0.948417737924285,NA,"Gm37329",0.882102246513295
"Gm38148",1.45415248501202,-0.0713568533603686,1.77903257201826,-0.0401099195611783,0.968005493500811,NA,"Gm38148",1.32315336976994
"Gm19938",27.7998229073694,-0.230483223322859,0.543704783735005,-0.423912443329161,0.671629668964135,0.943926256416315,"Gm19938",29.467421594662
"Gm10568",1.39345603423735,-0.973412617639247,1.73593822942246,-0.560741506316786,0.574973767526634,NA,"Gm10568",2.38038397008679
"Gm6085",2.4855190926364,-0.0284262625731123,1.1646528156691,-0.0244074991196249,0.980527566676347,NA,"Gm6085",2.67159574958706
"Gm6123",3.46210858987882,-0.363107152541278,1.02354512046603,-0.354754417055844,0.722773579957309,NA,"Gm6123",3.10633047960672
"Mrpl15",859.173387459262,-0.331237553635406,0.160904997955081,-2.05859083213733,0.0395334517444492,0.594819513623401,"Mrpl15",949.56403796786
"Gm37144",9.17159699809389,-1.12212115710607,0.752368465667801,-1.49145160690657,0.135842967576038,NA,"Gm37144",13.4574232400542
"Lypla1",421.580495563473,-0.511327332945996,0.303239457161305,-1.68621635763581,0.0917541343773885,0.664656554004481,"Lypla1",413.687862414559
"Tcea1",431.588062381752,-0.0362910312569688,0.183543359893167,-0.197724566435377,0.843260567921555,0.975983420323175,"Tcea1",439.530849556292
"Gm6104",1.29351310815964,-0.72385406235661,1.92849904897925,-0.375345822825137,0.707403291377535,NA,"Gm6104",1.76343701883205
"Gm37277",2.51541197435147,-0.194221688484488,1.35449123100561,-0.143390879201406,0.88598148588305,NA,"Gm37277",2.3693209659183
"Rgs20",145.948330325419,0.12083551322394,0.310399359627843,0.389290472019069,0.697061283756581,0.94605965032333,"Rgs20",150.429741703264
"Atp6v1h",3047.63438030592,-0.247618994155046,0.143742924996123,-1.72265170033047,0.084951529617565,0.660335879944599,"Atp6v1h",3382.97173008447
"Oprk1",2.24523123775159,-0.586593228894268,1.3459068883114,-0.435834925869367,0.662956501731543,NA,"Oprk1",2.54326506114744
"Npbwr1",18.0709218622647,0.152007575803328,0.511732066153675,0.297045242729971,0.766431968398735,0.963797597029738,"Npbwr1",15.3987931010358
"Rb1cc1",587.93482278248,-0.0706285458604987,0.183317863080156,-0.38527912486966,0.700030625972885,0.946822852194487,"Rb1cc1",575.691199936574
"4732440D04Rik",35.8494427245493,-0.0544679477427881,0.405445449517315,-0.134341001502502,0.893132932566909,0.984488354258628,"4732440D04Rik",31.232810346263
"Gm19026",2.01927200570904,-1.03746127963314,1.32840295930639,-0.78098386665356,0.434811983609042,NA,"Gm19026",2.6972684967315
"St18",8.27662074213814,0.834516524540462,0.767229332651657,1.08770153723952,0.276726888892001,NA,"St18",7.85843094312744
"Pcmtd1",471.901815324178,0.326452898614155,0.236884879780107,1.37810779192488,0.168170010188947,0.752488719380625,"Pcmtd1",444.144086013249
"Gm38372",4.96214630103311,1.4604962271614,1.00074061383055,1.45941536395833,0.144450819839876,NA,"Gm38372",2.98431618440409
"Gm9826",0.928520015960122,-0.191914440022483,2.05217280907082,-0.0935176799800687,0.925492304651452,NA,"Gm9826",1.87577313708095
"Gm26901",27.8150925178755,0.425908041265154,0.40306860003295,1.05666390592156,0.290665003385225,0.821436619931935,"Gm26901",22.4889832541045
"Sntg1",142.998466758923,0.124139932354762,0.210697838871673,0.589184649541521,0.555737413419833,0.919327216475575,"Sntg1",134.380522471064
"Gm37629",1.74147477910344,-0.251603549547144,1.30078166677989,-0.193424889028451,0.846626224849142,NA,"Gm37629",2.32726991148587
"Rrs1",210.187826425044,0.0971905700232157,0.223795088883899,0.434283748173029,0.664082403964654,0.942714889095296,"Rrs1",226.618924621036
"Adhfe1",17.8732271382119,-0.343488041502784,0.512924311525556,-0.669666135498959,0.503070644023733,0.904868553300882,"Adhfe1",20.3826905057685
"2610203C22Rik",2.74199955489434,-0.629743517436937,1.20001387487293,-0.524780196815323,0.59973599956966,NA,"2610203C22Rik",3.4924989799504
"Vxn",1634.23432388861,0.528089501503909,0.218478907372502,2.41711892399539,0.015643905051889,0.487361230267227,"Vxn",1743.31691707268
"Mybl1",148.754555328901,0.252552939803946,0.262386182043212,0.962523780167483,0.3357865637696,0.839302903454688,"Mybl1",127.720460370315
"Vcpip1",628.389202161604,0.0530117868038131,0.158381239451669,0.334710013555551,0.7378438470153,0.958312847612249,"Vcpip1",601.579919809702
"1700034P13Rik",11.9348647049557,0.419951662079444,0.609554793354546,0.688948174401741,0.490855881844704,NA,"1700034P13Rik",8.44200392678599
"Sgk3",66.4116377743458,0.121278067741942,0.307882009638984,0.3939108617751,0.693646850857684,0.94605965032333,"Sgk3",58.7337610663941
"Mcmdc2",10.4853608810245,-0.535585956928606,0.558941796651597,-0.958214182831009,0.337954766894009,NA,"Mcmdc2",10.350350509986
"Snhg6",503.762394633281,-0.108650085825296,0.172021980644964,-0.631605829777875,0.527644476203558,0.914670961998356,"Snhg6",598.934006810474
"Tcf24",6.54972438166651,0.666617070471545,1.09801041775452,0.607113611758624,0.543775517463558,NA,"Tcf24",2.07477262643431
"Ppp1r42",6.19281802269461,0.0955885585709392,0.750616360636105,0.127346756057826,0.898665955536374,NA,"Ppp1r42",7.227232762261
