"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","WT"
"Xkr4",126.384812938251,-0.371667848151325,0.257639706699219,-1.44258760776043,0.149136676315897,0.478801783135255,"Xkr4",120.025720695807
"Gm37180",1.46105500065689,-0.289163574440645,1.78908799788137,-0.161626244647033,0.871600188802356,NA,"Gm37180",0.752002993761639
"Gm37363",2.06898881917559,-1.25013388839311,1.63715406965001,-0.763601857374586,0.445104542088293,NA,"Gm37363",2.775638518097
"Gm37686",0.653574969727848,-2.78505788154773,3.19275034838481,-0.87230681313892,0.383041021805602,NA,"Gm37686",0.779444305218121
"Gm37329",1.66023741467393,-0.853571641792276,2.05618313499627,-0.415124327821035,0.678050891053031,NA,"Gm37329",0.882102246513295
"Gm38148",1.45415248501202,-1.83063411890248,1.98615094746409,-0.921699391096043,0.356685398276763,NA,"Gm38148",1.32315336976994
"Gm19938",27.7998229073694,-0.415006309689802,0.460704501417275,-0.900808019919731,0.367690402691303,0.709295869137255,"Gm19938",29.467421594662
"Gm10568",1.39345603423735,-0.98040075738593,1.89625907615715,-0.517018359839708,0.605143342430751,NA,"Gm10568",2.38038397008679
"Gm6085",2.4855190926364,0.691862870048176,1.18901112549439,0.581880905244266,0.560646903112202,NA,"Gm6085",2.67159574958706
"Gm6123",3.46210858987882,-0.36856108095632,1.03155170323006,-0.357288034911153,0.720876186422192,NA,"Gm6123",3.10633047960672
"Mrpl15",859.173387459262,0.0497081940762232,0.141275627707549,0.351852579831552,0.724948823694419,0.902613253157165,"Mrpl15",949.56403796786
"Gm37144",9.17159699809389,-0.246983662485778,0.736612153303408,-0.335296751999211,0.737401243601604,NA,"Gm37144",13.4574232400542
"Lypla1",421.580495563473,-0.0454665782483322,0.171386057018706,-0.265287497940219,0.790787994783463,0.931265292610917,"Lypla1",413.687862414559
"Tcea1",431.588062381752,-0.219290112947132,0.151974728256722,-1.44293801648849,0.149037932709684,0.478717994644926,"Tcea1",439.530849556292
"Gm6104",1.29351310815964,0.778799489990357,1.92532541270316,0.40450278423164,0.685843030897915,NA,"Gm6104",1.76343701883205
"Gm37277",2.51541197435147,-0.888223355191975,1.44221618517424,-0.615873933688149,0.537977726465659,NA,"Gm37277",2.3693209659183
"Rgs20",145.948330325419,-0.0835323323998724,0.264842351818211,-0.315403982128996,0.752454943724093,0.914809820898266,"Rgs20",150.429741703264
"Atp6v1h",3047.63438030592,-0.13344665176748,0.128622717460305,-1.03750452799027,0.29950078657114,0.65076611818188,"Atp6v1h",3382.97173008447
"Oprk1",2.24523123775159,0.42692472009366,1.44693952354672,0.295053603240574,0.767952931920159,NA,"Oprk1",2.54326506114744
"Npbwr1",18.0709218622647,0.736883581003315,0.454473107463392,1.62140194634656,0.104931463623703,0.406134453217648,"Npbwr1",15.3987931010358
"Rb1cc1",587.93482278248,-0.214432307455221,0.156602711661382,-1.36927582658264,0.170913071332111,0.506469849895432,"Rb1cc1",575.691199936574
"4732440D04Rik",35.8494427245493,-0.493993576747223,0.399829427938607,-1.23551080092853,0.216640459185863,0.563764500740722,"4732440D04Rik",31.232810346263
"Gm19026",2.01927200570904,-0.675484437875818,1.50385708301999,-0.449167973142325,0.653310489063675,NA,"Gm19026",2.6972684967315
"St18",8.27662074213814,-1.14952949761984,0.738038289806513,-1.55754723501027,0.119340615087477,NA,"St18",7.85843094312744
"Pcmtd1",471.901815324178,-0.5575831751027,0.180943912927129,-3.08152491057962,0.00205943243906174,0.0394700879182936,"Pcmtd1",444.144086013249
