"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"1","GO:0035253","ciliary rootlet",15,1,0,1,0.00093,0.00093,"Crocc"
"2","GO:0001917","photoreceptor inner segment",55,1,0,2,0.0034,0.0034,"Crocc"
"3","GO:0005814","centriole",111,1,0.01,3,0.00687,0.00687,"Crocc"
"4","GO:0097729","9+2 motile cilium",123,1,0.01,4,0.00761,0.00761,"Crocc"
"5","GO:0015629","actin cytoskeleton",467,1,0.03,6,0.02889,0.02889,"Crocc"
"6","GO:0005813","centrosome",562,1,0.03,7,0.03477,0.03477,"Crocc"
"7","GO:0005829","cytosol",3301,1,0.2,14,0.20423,0.20423,"Crocc"
"8","GO:0005886","plasma membrane",4055,1,0.25,15,0.25088,0.25088,"Crocc"
"9","GO:0071944","cell periphery",4170,1,0.26,18,0.258,0.258,"Crocc"
"10","GO:0016020","membrane",6881,1,0.43,19,0.42573,0.42573,"Crocc"
"11","GO:0005737","cytoplasm",9830,1,0.61,20,0.60818,0.60818,"Crocc"
"12","GO:0043228","non-membrane-bounded organelle",4074,1,0.25,17,1,0.25206,"Crocc"
"13","GO:0043229","intracellular organelle",10841,1,0.67,21,1,0.67073,"Crocc"
"14","GO:0005929","cilium",591,1,0.04,8,1,0.03656,"Crocc"
"15","GO:0043232","intracellular non-membrane-bounded organelle",4056,1,0.25,16,1,0.25094,"Crocc"
"16","GO:0005622","intracellular",12251,1,0.76,23,1,0.75797,"Crocc"
"17","GO:0005575","cellular_component",16163,1,1,25,1,1,"Crocc"
"18","GO:0031514","motile cilium",184,1,0.01,5,1,0.01138,"Crocc"
"19","GO:0120025","plasma membrane bounded cell projection",2145,1,0.13,12,1,0.13271,"Crocc"
"20","GO:0110165","cellular anatomical entity",14440,1,0.89,24,1,0.8934,"Crocc"
"21","GO:0005815","microtubule organizing center",677,1,0.04,9,1,0.04189,"Crocc"
"22","GO:0042995","cell projection",2356,1,0.15,13,1,0.14577,"Crocc"
"23","GO:0005856","cytoskeleton",1990,1,0.12,11,1,0.12312,"Crocc"
"24","GO:0015630","microtubule cytoskeleton",1120,1,0.07,10,1,0.06929,"Crocc"
"25","GO:0043226","organelle",11139,1,0.69,22,1,0.68917,"Crocc"
"26","GO:0000109","nucleotide-excision repair complex",13,0,0,26,1,1,""
"27","GO:0000118","histone deacetylase complex",74,0,0,27,1,1,""
"28","GO:0000123","histone acetyltransferase complex",77,0,0,28,1,1,""
"29","GO:0000124","SAGA complex",11,0,0,29,1,1,""
"30","GO:0000137","Golgi cis cisterna",12,0,0,30,1,1,""
"31","GO:0000138","Golgi trans cisterna",11,0,0,31,1,1,""
"32","GO:0000139","Golgi membrane",246,0,0.02,32,1,1,""
"33","GO:0000145","exocyst",17,0,0,33,1,1,""
"34","GO:0000151","ubiquitin ligase complex",274,0,0.02,34,1,1,""
"35","GO:0000152","nuclear ubiquitin ligase complex",41,0,0,35,1,1,""
"36","GO:0000153","cytoplasmic ubiquitin ligase complex",14,0,0,36,1,1,""
"37","GO:0000159","protein phosphatase type 2A complex",18,0,0,37,1,1,""
"38","GO:0000164","protein phosphatase type 1 complex",13,0,0,38,1,1,""
"39","GO:0000176","nuclear exosome (RNase complex)",14,0,0,39,1,1,""
"40","GO:0000177","cytoplasmic exosome (RNase complex)",13,0,0,40,1,1,""
"41","GO:0000178","exosome (RNase complex)",23,0,0,41,1,1,""
"42","GO:0000228","nuclear chromosome",782,0,0.05,42,1,1,""
"43","GO:0000235","astral microtubule",11,0,0,43,1,1,""
"44","GO:0000242","pericentriolar material",22,0,0,44,1,1,""
"45","GO:0000307","cyclin-dependent protein kinase holoenzyme complex",41,0,0,45,1,1,""
"46","GO:0000313","organellar ribosome",91,0,0.01,46,1,1,""
"47","GO:0000314","organellar small ribosomal subunit",30,0,0,47,1,1,""
"48","GO:0000315","organellar large ribosomal subunit",59,0,0,48,1,1,""
"49","GO:0000323","lytic vacuole",406,0,0.03,49,1,1,""
"50","GO:0000346","transcription export complex",10,0,0,50,1,1,""
"51","GO:0000407","phagophore assembly site",27,0,0,51,1,1,""
"52","GO:0000421","autophagosome membrane",21,0,0,52,1,1,""
"53","GO:0000428","DNA-directed RNA polymerase complex",95,0,0.01,53,1,1,""
"54","GO:0000439","transcription factor TFIIH core complex",10,0,0,54,1,1,""
"55","GO:0000502","proteasome complex",62,0,0,55,1,1,""
"56","GO:0000775","chromosome, centromeric region",188,0,0.01,56,1,1,""
"57","GO:0000776","kinetochore",129,0,0.01,57,1,1,""
"58","GO:0000777","condensed chromosome kinetochore",35,0,0,58,1,1,""
"59","GO:0000778","condensed nuclear chromosome kinetochore",18,0,0,59,1,1,""
"60","GO:0000779","condensed chromosome, centromeric region",53,0,0,60,1,1,""
"61","GO:0000780","condensed nuclear chromosome, centromeric region",32,0,0,61,1,1,""
"62","GO:0000781","chromosome, telomeric region",101,0,0.01,62,1,1,""
"63","GO:0000782","telomere cap complex",11,0,0,63,1,1,""
