"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"1","GO:0032369","negative regulation of lipid transport",28,3,0.23,9,0.0014,0.00144,"Acsl4,Cry2,Nr1h2"
"2","GO:1905039","carboxylic acid transmembrane transport",108,5,0.87,16,0.0018,0.00179,"Slc16a7,Slc25a15,Slc38a2,Slc6a8,Slc6a9"
"3","GO:0050885","neuromuscular process controlling balance",67,4,0.54,23,0.0021,0.00207,"Aplp2,Cntnap1,Nr4a3,Tpp1"
"4","GO:1904646","cellular response to amyloid-beta",34,3,0.27,28,0.0025,0.00253,"Itga4,Ngfr,Parp1"
"5","GO:0051610","serotonin uptake",10,2,0.08,31,0.0028,0.00277,"Gpm6b,Snca"
"6","GO:0046627","negative regulation of insulin receptor signaling pathway",36,3,0.29,32,0.003,0.00299,"Irs1,Pid1,Prkcb"
"7","GO:0010827","regulation of glucose transmembrane transport",79,4,0.64,44,0.0038,0.00377,"Irs1,Nr4a3,Pid1,Prkcb"
"8","GO:1903587","regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis",12,2,0.1,49,0.004,0.00402,"Jcad,Ngfr"
"9","GO:0030949","positive regulation of vascular endothelial growth factor receptor signaling pathway",12,2,0.1,50,0.004,0.00402,"Angpt1,Prkcb"
"10","GO:0044272","sulfur compound biosynthetic process",81,4,0.65,53,0.0041,0.00412,"Acsl4,Angpt1,Cth,Snca"
"11","GO:2001223","negative regulation of neuron migration",13,2,0.1,59,0.0047,0.00472,"Srgap2,Tnn"
"12","GO:0008104","protein localization",2424,31,19.49,62,0.005,0.00502,"Acsl4,Adam9,Angpt1,Arrb1,Atxn3,Cacng7,Cntnap1,Cry2,Dhcr24,Epha3,Gpm6b,Grin2a,Ipo11,Irs1,Itga4,Ngfr,Nr1h2,Parp1,Pid1,Praf2,Rab18,Raf1,Sec61a1,Slc5a3,Stxbp6,Tpp1,Uhmk1,Usp6nl,Zdhhc4,Zdhhc9,Zmat3"
"13","GO:0031175","neuron projection development",1067,17,8.58,64,0.0052,0.00522,"Acsl4,Bhlhe22,Cacng7,Cntnap1,Epha3,Fig4,Gpm6b,Itga4,Ncdn,Ngfr,Nr4a3,Nrep,Sema7a,Slc25a46,Srgap2,Tnn,Uhmk1"
"14","GO:0043523","regulation of neuron apoptotic process",262,7,2.11,65,0.0053,0.00528,"Angpt1,Arrb1,Casp9,Ngfr,Nr4a3,Parp1,Snca"
"15","GO:0003254","regulation of membrane depolarization",44,3,0.35,66,0.0053,0.00529,"Ngfr,Parp1,Scn2b"
"16","GO:0031987","locomotion involved in locomotory behavior",14,2,0.11,67,0.0055,0.00548,"Gpr37,Slc25a46"
"17","GO:0045104","intermediate filament cytoskeleton organization",45,3,0.36,71,0.0056,0.00563,"Atxn3,Plec,Raf1"
"18","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway",544,14,4.37,1,0.0057,0.00012,"Angpt1,Aplp2,Ccbe1,Epha3,Irs1,Jcad,Ngfr,Nr4a3,Pid1,Prkcb,Raf1,Snca,Socs2,Tnmd"
"19","GO:0007160","cell-matrix adhesion",202,6,1.62,73,0.0059,0.00585,"Adam9,Epha3,Gpm6b,Itga4,Pik3cb,Tnn"
"20","GO:0006814","sodium ion transport",204,6,1.64,77,0.0061,0.00613,"Scn2b,Scn7a,Slc38a2,Slc5a3,Slc6a8,Slc6a9"
"21","GO:0042428","serotonin metabolic process",15,2,0.12,79,0.0063,0.00629,"Btbd9,Grin2a"
"22","GO:0042416","dopamine biosynthetic process",15,2,0.12,80,0.0063,0.00629,"Gpr37,Snca"
"23","GO:0016126","sterol biosynthetic process",47,3,0.38,81,0.0064,0.00636,"Dhcr24,Erg28,Hsd17b7"
"24","GO:0009416","response to light stimulus",275,7,2.21,85,0.0068,0.00684,"Arrb1,Casp9,Cat,Cry2,Grin2a,Hus1,Parp1"
"25","GO:0042487","regulation of odontogenesis of dentin-containing tooth",16,2,0.13,89,0.0072,0.00715,"Ngfr,Rspo2"
"26","GO:0044320","cellular response to leptin stimulus",16,2,0.13,90,0.0072,0.00715,"Nr4a3,Pid1"
"27","GO:0033138","positive regulation of peptidyl-serine phosphorylation",95,4,0.76,91,0.0072,0.00723,"Angpt1,Arrb1,Raf1,Snca"
"28","GO:0099565","chemical synaptic transmission, postsynaptic",96,4,0.77,94,0.0075,0.0075,"Grin2a,Igsf9b,Ngfr,Snca"
"29","GO:0050790","regulation of catalytic activity",1682,23,13.53,95,0.0076,0.00764,"Adam9,Angpt1,Aplp2,Arrb1,Casp9,Cnppd1,Cry2,Dbndd2,Dhcr24,Epha3,Irs1,Map3k1,Mllt1,Ngfr,Nr1h2,Parp1,Pcdh11x,Pxk,Raf1,Slc5a3,Snca,Srgap2,Usp6nl"
"30","GO:0030100","regulation of endocytosis",214,6,1.72,96,0.0077,0.00769,"Angpt1,Arrb1,Btbd9,Epha3,Nr1h2,Snca"
"31","GO:0051580","regulation of neurotransmitter uptake",17,2,0.14,98,0.0081,0.00806,"Gpm6b,Snca"
"32","GO:0051589","negative regulation of neurotransmitter transport",17,2,0.14,99,0.0081,0.00806,"Gpm6b,Snca"
"33","GO:0042744","hydrogen peroxide catabolic process",17,2,0.14,100,0.0081,0.00806,"Cat,Snca"
"34","GO:2001169","regulation of ATP biosynthetic process",17,2,0.14,101,0.0081,0.00806,"Parp1,Pid1"
"35","GO:0043271","negative regulation of ion transport",158,5,1.27,111,0.009,0.00901,"Acsl4,Gpm6b,Pxk,Slc6a9,Snca"
"36","GO:0048148","behavioral response to cocaine",18,2,0.14,112,0.009,0.00902,"Parp1,Snca"
"37","GO:0035493","SNARE complex assembly",18,2,0.14,113,0.009,0.00902,"Snca,Stxbp6"
"38","GO:0042754","negative regulation of circadian rhythm",18,2,0.14,114,0.009,0.00902,"Cry2,Piwil2"
"39","GO:0033631","cell-cell adhesion mediated by integrin",18,2,0.14,115,0.009,0.00902,"Adam9,Itga4"
"40","GO:0046321","positive regulation of fatty acid oxidation",18,2,0.14,116,0.009,0.00902,"Irs1,Nr4a3"
"41","GO:0043543","protein acylation",223,6,1.79,121,0.0093,0.00932,"Arrb1,Naa60,Piwil2,Snca,Zdhhc4,Zdhhc9"
"42","GO:0050806","positive regulation of synaptic transmission",223,6,1.79,122,0.0093,0.00932,"Cacng7,Car7,Grin2a,Igsf9b,Ngfr,Snca"
"43","GO:0042391","regulation of membrane potential",420,11,3.38,4,0.0098,0.00058,"Cntnap1,Grin2a,Igsf9b,Kcnh7,Ngfr,Parp1,Pid1,Pxk,Scn2b,Scn7a,Snca"
"44","GO:0015807","L-amino acid transport",55,3,0.44,125,0.0098,0.00983,"Slc25a15,Slc38a2,Slc6a9"
"45","GO:1900449","regulation of glutamate receptor signaling pathway",55,3,0.44,126,0.0098,0.00983,"Cacng7,Grin2a,Slc6a9"
"46","GO:0061081","positive regulation of myeloid leukocyte cytokine production involved in immune response",19,2,0.15,131,0.01,0.01003,"Nr4a3,Sema7a"
"47","GO:1900746","regulation of vascular endothelial growth factor signaling pathway",19,2,0.15,132,0.01,0.01003,"Ccbe1,Jcad"
"48","GO:0051900","regulation of mitochondrial depolarization",19,2,0.15,133,0.01,0.01003,"Ngfr,Parp1"
"49","GO:0035065","regulation of histone acetylation",56,3,0.45,135,0.0103,0.01033,"Arrb1,Piwil2,Snca"
"50","GO:0032990","cell part morphogenesis",700,12,5.63,137,0.0108,0.01078,"Bhlhe22,Cacng7,Cntnap1,Epha3,Itga4,Ngfr,Nr4a3,Pid1,Sema7a,Slc25a46,Srgap2,Tnn"
"51","GO:0032989","cellular component morphogenesis",789,13,6.34,140,0.011,0.01099,"Bhlhe22,Cacng7,Cntnap1,Epha3,Fig4,Itga4,Ngfr,Nr4a3,Pid1,Sema7a,Slc25a46,Srgap2,Tnn"
"52","GO:1900543","negative regulation of purine nucleotide metabolic process",20,2,0.16,141,0.0111,0.01109,"Parp1,Pid1"
"53","GO:0071363","cellular response to growth factor stimulus",557,12,4.48,15,0.0114,0.00178,"Adam9,Angpt1,Ccbe1,Dync1li2,Jcad,Map3k1,Ngfr,Nrep,Parp1,Prkcb,Raf1,Tnmd"
"54","GO:0008203","cholesterol metabolic process",109,4,0.88,143,0.0116,0.0116,"Aplp2,Cat,Dhcr24,Hsd17b7"
"55","GO:0034389","lipid droplet organization",21,2,0.17,146,0.0122,0.01219,"Ptgfrn,Rab18"
"56","GO:0018230","peptidyl-L-cysteine S-palmitoylation",21,2,0.17,147,0.0122,0.01219,"Zdhhc4,Zdhhc9"
"57","GO:0018231","peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine",21,2,0.17,148,0.0122,0.01219,"Zdhhc4,Zdhhc9"
"58","GO:1902547","regulation of cellular response to vascular endothelial growth factor stimulus",21,2,0.17,149,0.0122,0.01219,"Ccbe1,Jcad"
"59","GO:0042053","regulation of dopamine metabolic process",21,2,0.17,150,0.0122,0.01219,"Gpr37,Snca"
"60","GO:0045980","negative regulation of nucleotide metabolic process",21,2,0.17,151,0.0122,0.01219,"Parp1,Pid1"
"61","GO:0060078","regulation of postsynaptic membrane potential",111,4,0.89,153,0.0123,0.01234,"Grin2a,Igsf9b,Ngfr,Snca"
