"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"1","GO:0007613","memory",143,12,2.24,16,2.6e-06,2.6e-06,"Apoe,B4galt2,Btbd9,Casp1,Cnr1,Cx3cr1,Grin2a,Grm7,Igf1,Nog,Ptgs2,Slc6a1"
"2","GO:0001774","microglial cell activation",41,6,0.64,49,3.9e-05,3.9e-05,"C1qa,Casp1,Cx3cr1,Snca,Trem2,Tyrobp"
"3","GO:0006884","cell volume homeostasis",30,5,0.47,58,9.3e-05,9.3e-05,"Aqp11,Kcnma1,Lrrc8a,Prkg2,Slc12a6"
"4","GO:0150146","cell junction disassembly",19,4,0.3,73,0.00019,0.00019,"C1qa,C1qb,C1qc,Trem2"
"5","GO:0001508","action potential",131,9,2.05,77,0.00022,0.00022,"Cnr1,Cntnap1,Grin2a,Hcn1,Kcnab2,Kcnc2,Kcnma1,Scn2b,Scn7a"
"6","GO:1903792","negative regulation of anion transport",38,5,0.59,82,3e-04,3e-04,"Acsl4,Apoe,Grm7,Prkg2,Rgs2"
"7","GO:0032691","negative regulation of interleukin-1 beta production",22,4,0.34,84,0.00034,0.00034,"Cptp,Cx3cr1,Igf1,Trem2"
"8","GO:0021988","olfactory lobe development",40,5,0.63,87,0.00038,0.00038,"Atp1a2,Robo2,Sema3a,Sema7a,Slit2"
"9","GO:0050919","negative chemotaxis",43,5,0.67,95,0.00053,0.00053,"Robo2,Sema3a,Sema3c,Sema7a,Slit2"
"10","GO:0045453","bone resorption",66,6,1.03,99,0.00057,0.00057,"Ctss,Inpp5d,Ncdn,Rac2,Tfrc,Tpp1"
"11","GO:1901216","positive regulation of neuron death",123,8,1.92,106,7e-04,7e-04,"Apoe,Atf4,C1qa,Casp9,Kcnma1,Parp1,Snca,Tyrobp"
"12","GO:0071805","potassium ion transmembrane transport",186,10,2.91,107,0.00071,0.00071,"Atp1a2,Hcn1,Kcnab2,Kcnc2,Kcnh7,Kcnj3,Kcnma1,Kcns3,Slc12a6,Trem2"
"13","GO:0051955","regulation of amino acid transport",46,5,0.72,110,0.00073,0.00073,"Grik1,Grm7,Rgs2,Slc6a1,Snca"
"14","GO:0030949","positive regulation of vascular endothelial growth factor receptor signaling pathway",12,3,0.19,112,0.00075,0.00075,"Angpt1,Fgf9,Prkcb"
"15","GO:1900272","negative regulation of long-term synaptic potentiation",12,3,0.19,113,0.00075,0.00075,"Apoe,Cx3cr1,Tyrobp"
"16","GO:0002281","macrophage activation involved in immune response",13,3,0.2,125,0.00096,0.00096,"Cx3cr1,Trem2,Tyrobp"
"17","GO:0035725","sodium ion transmembrane transport",131,8,2.05,130,0.00106,0.00106,"Atp1a2,Hcn1,Hecw1,Scn2b,Scn7a,Slc6a1,Slc6a8,Slc6a9"
"18","GO:0050808","synapse organization",466,17,7.29,132,0.0011,0.0011,"Apoe,C1qa,C1qb,C1qc,Cx3cr1,Epha5,Gabra1,Glrb,Grin2a,Igsf9b,Mef2c,Slc25a46,Slc6a1,Snap91,Snca,Sncb,Trem2"
"19","GO:0014070","response to organic cyclic compound",602,20,9.42,143,0.00129,0.00129,"Abhd2,Atf4,Atp1a2,Casp1,Casp9,Cnr1,Crls1,Epha5,Gabra1,Ggt7,Hcn1,Igf1,Irs1,Kcnma1,Mef2c,Parp1,Slc6a1,Snca,Socs2,Stat1"
"20","GO:0051899","membrane depolarization",78,6,1.22,147,0.00139,0.00139,"Casp1,Grik1,Hcn1,Parp1,Scn2b,Scn7a"
"21","GO:0030593","neutrophil chemotaxis",79,6,1.24,153,0.00148,0.00148,"C3ar1,Fcgr3,Itgb2,Ppib,Rac2,Slit2"
"22","GO:0060078","regulation of postsynaptic membrane potential",111,7,1.74,166,0.0018,0.0018,"Gabra1,Grik1,Grin2a,Igsf9b,Mef2c,Rgs7bp,Snca"
"23","GO:0035641","locomotory exploration behavior",16,3,0.25,167,0.00182,0.00182,"Apoe,Atp1a2,Gad1"
"24","GO:0043524","negative regulation of neuron apoptotic process",176,9,2.75,168,0.00184,0.00184,"Angpt1,Apoe,Arrb1,Cx3cr1,Grm7,Mef2c,Ndnf,Snca,Sncb"
"25","GO:0097242","amyloid-beta clearance",34,4,0.53,170,0.00188,0.00188,"Apoe,Ide,Itgb2,Trem2"
"26","GO:0045744","negative regulation of G protein-coupled receptor signaling pathway",57,5,0.89,172,0.00194,0.00194,"Arrb1,Plek,Rgs13,Rgs2,Snca"
"27","GO:0043523","regulation of neuron apoptotic process",262,15,4.1,35,0.00201,1.7e-05,"Angpt1,Apoe,Arrb1,Atf4,Casp9,Cx3cr1,Grm7,Kcnma1,Mef2c,Ndnf,Parp1,Snca,Sncb,Trim2,Tyrobp"
"28","GO:0008045","motor neuron axon guidance",35,4,0.55,176,0.00209,0.00209,"Nog,Rac2,Sema3a,Slit2"
"29","GO:0043116","negative regulation of vascular permeability",17,3,0.27,180,0.00219,0.00219,"Angpt1,Apoe,Slit2"
"30","GO:0035235","ionotropic glutamate receptor signaling pathway",17,3,0.27,181,0.00219,0.00219,"Grik1,Grin2a,Grin3a"
"31","GO:2001169","regulation of ATP biosynthetic process",17,3,0.27,182,0.00219,0.00219,"Parp1,Pid1,Trem2"
"32","GO:0007268","chemical synaptic transmission",701,31,10.97,4,0.00232,1.8e-07,"Apoe,Atf4,Btbd9,Car7,Cnr1,Cplx1,Cx3cr1,Dlgap1,Gabra1,Glrb,Grik1,Grin2a,Grin3a,Grm7,Htr3a,Igsf9b,Kcnma1,Mef2c,Ncdn,Pde4a,Pirb,Pnoc,Prkcb,Ptgs2,Slc12a6,Slc6a1,Slc6a9,Snap91,Snca,Sncb,Tyrobp"
"33","GO:0051953","negative regulation of amine transport",36,4,0.56,187,0.00233,0.00233,"Cnr1,Grm7,Rgs2,Snca"
"34","GO:0002931","response to ischemia",36,4,0.56,188,0.00233,0.00233,"Cx3cr1,Ndnf,Ppif,Trem2"
"35","GO:0007626","locomotory behavior",238,13,3.72,61,0.00245,9.9e-05,"Aplp2,Apoe,Atp1a2,B4galt2,Btbd9,Fig4,Gad1,Glrb,Grin2a,Kcnma1,Selenop,Slc25a46,Snca"
"36","GO:0032228","regulation of synaptic transmission, GABAergic",37,4,0.58,193,0.00258,0.00258,"Car7,Cnr1,Grik1,Slc6a1"
"37","GO:0071470","cellular response to osmotic stress",37,4,0.58,194,0.00258,0.00258,"Prkg2,Ptgs2,Relb,Slc12a6"
