"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"1","GO:0150146","cell junction disassembly",19,4,0.04,8,4.9e-08,4.9e-08,"C1qa,C1qb,C1qc,Trem2"
"2","GO:0045087","innate immune response",533,10,1.06,9,5e-08,5e-08,"C1qa,C1qb,C1qc,Cd74,Fcer1g,Mpeg1,Snca,Tac1,Trem2,Wfdc17"
"3","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",14,3,0.03,26,2.6e-06,2.6e-06,"Cd74,Ctss,Fcer1g"
"4","GO:0006958","complement activation, classical pathway",27,3,0.05,41,2e-05,2e-05,"C1qa,C1qb,C1qc"
"5","GO:0002675","positive regulation of acute inflammatory response",30,3,0.06,43,2.8e-05,2.8e-05,"Fcer1g,Ptgs2,Tac1"
"6","GO:0001774","microglial cell activation",41,3,0.08,54,7.3e-05,7.3e-05,"C1qa,Snca,Trem2"
"7","GO:1901216","positive regulation of neuron death",123,4,0.25,60,1e-04,1e-04,"C1qa,Parp1,Snca,Tac1"
"8","GO:0050829","defense response to Gram-negative bacterium",46,3,0.09,61,1e-04,1e-04,"Lyz2,Mpeg1,Tac1"
"9","GO:0060907","positive regulation of macrophage cytokine production",10,2,0.02,68,0.00017,0.00017,"Cd74,Sema7a"
"10","GO:2001280","positive regulation of unsaturated fatty acid biosynthetic process",11,2,0.02,72,0.00021,0.00021,"Cd74,Ptgs2"
"11","GO:0031392","regulation of prostaglandin biosynthetic process",12,2,0.02,74,0.00025,0.00025,"Cd74,Ptgs2"
"12","GO:0050830","defense response to Gram-positive bacterium",65,3,0.13,77,0.00029,0.00029,"Lyz2,Mpeg1,Tac1"
"13","GO:0008217","regulation of blood pressure",170,4,0.34,80,0.00035,0.00035,"C3ar1,Crhr2,Ptgs2,Tac1"
"14","GO:0051241","negative regulation of multicellular organismal process",1194,9,2.38,84,4e-04,4e-04,"C1qc,Cd74,Crhr2,Parp1,Ptgs2,Sema7a,Tac1,Tnmd,Trem2"
"15","GO:0032225","regulation of synaptic transmission, dopaminergic",16,2,0.03,87,0.00045,0.00045,"Ptgs2,Snca"
"16","GO:0001820","serotonin secretion",16,2,0.03,88,0.00045,0.00045,"Crhr2,Fcer1g"
"17","GO:0002577","regulation of antigen processing and presentation",16,2,0.03,89,0.00045,0.00045,"Cd74,Trem2"
"18","GO:1903532","positive regulation of secretion by cell",337,5,0.67,93,5e-04,5e-04,"Crhr2,Fcer1g,Snca,Tac1,Trem2"
"19","GO:0048143","astrocyte activation",17,2,0.03,97,0.00051,0.00051,"C1qa,Trem2"
"20","GO:2001169","regulation of ATP biosynthetic process",17,2,0.03,98,0.00051,0.00051,"Parp1,Trem2"
"21","GO:0070374","positive regulation of ERK1 and ERK2 cascade",194,4,0.39,101,0.00057,0.00057,"Alkal2,Cd74,Sema7a,Trem2"
"22","GO:0048148","behavioral response to cocaine",18,2,0.04,103,0.00058,0.00058,"Parp1,Snca"
"23","GO:0050729","positive regulation of inflammatory response",126,6,0.25,12,0.00068,1.6e-07,"Ctss,Fcer1g,Ptgs2,Snca,Tac1,Trem2"
"24","GO:0032755","positive regulation of interleukin-6 production",88,3,0.18,111,0.00071,0.00071,"Cd74,Crhr2,Fcer1g"
"25","GO:0002027","regulation of heart rate",91,3,0.18,116,0.00078,0.00078,"Crhr2,Scn2b,Tac1"
"26","GO:0150077","regulation of neuroinflammatory response",23,2,0.05,119,0.00095,0.00095,"Ptgs2,Trem2"
"27","GO:0050806","positive regulation of synaptic transmission",223,4,0.44,121,0.00096,0.00096,"Crhr2,Ptgs2,Snca,Tac1"
"28","GO:0090023","positive regulation of neutrophil chemotaxis",24,2,0.05,125,0.00104,0.00104,"C3ar1,Cd74"
