"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"1","GO:0005615","extracellular space",1059,7,1.31,2,0.00018,0.00018,"Dlk1,Loxl2,Mcam,Smoc2,Sulf1,Susd2,Vash1"
"2","GO:0005604","basement membrane",109,3,0.13,3,0.00031,0.00031,"Loxl2,Ntn1,Smoc2"
"3","GO:0005884","actin filament",127,2,0.16,6,0.01061,0.01061,"Pdlim1,Tpm2"
"4","GO:0030017","sarcomere",173,2,0.21,7,0.01907,0.01907,"Pdlim1,Tpm2"
"5","GO:0005614","interstitial matrix",16,1,0.02,8,0.01962,0.01962,"Smoc2"
"6","GO:0030016","myofibril",195,2,0.24,9,0.02386,0.02386,"Pdlim1,Tpm2"
"7","GO:0016442","RISC complex",20,1,0.02,10,0.02447,0.02447,"Mir7-1"
"8","GO:0031332","RNAi effector complex",20,1,0.02,11,0.02447,0.02447,"Mir7-1"
"9","GO:0005865","striated muscle thin filament",22,1,0.03,12,0.02689,0.02689,"Tpm2"
"10","GO:0043292","contractile fiber",209,2,0.26,13,0.02713,0.02713,"Pdlim1,Tpm2"
"11","GO:0097038","perinuclear endoplasmic reticulum",26,1,0.03,14,0.0317,0.0317,"Syt6"
"12","GO:0036379","myofilament",26,1,0.03,15,0.0317,0.0317,"Tpm2"
"13","GO:0099524","postsynaptic cytosol",26,1,0.03,16,0.0317,0.0317,"Aldoc"
"14","GO:0005942","phosphatidylinositol 3-kinase complex",27,1,0.03,17,0.0329,0.0329,"Socs3"
"15","GO:0031941","filamentous actin",37,1,0.05,18,0.04483,0.04483,"Pdlim1"
"16","GO:0099522","region of cytosol",40,1,0.05,19,0.04838,0.04838,"Aldoc"
"17","GO:0019898","extrinsic component of membrane",296,2,0.37,20,0.05113,0.05113,"Socs3,Syt6"
"18","GO:0009897","external side of plasma membrane",307,2,0.38,21,0.05457,0.05457,"Dlk1,Mcam"
"19","GO:0009986","cell surface",745,3,0.92,22,0.06202,0.06202,"Dlk1,Mcam,Sulf1"
"20","GO:0097517","contractile actin filament bundle",78,1,0.1,23,0.09227,0.09227,"Pdlim1"
"21","GO:0001725","stress fiber",78,1,0.1,24,0.09227,0.09227,"Pdlim1"
"22","GO:0005783","endoplasmic reticulum",1465,4,1.81,25,0.10121,0.10121,"Loxl2,Sulf1,Syt6,Vash1"
"23","GO:0032432","actin filament bundle",87,1,0.11,26,0.10238,0.10238,"Pdlim1"
"24","GO:0042641","actomyosin",87,1,0.11,27,0.10238,0.10238,"Pdlim1"
"25","GO:0015629","actin cytoskeleton",467,2,0.58,28,0.11252,0.11252,"Pdlim1,Tpm2"
"26","GO:0071944","cell periphery",4170,8,5.16,29,0.118,0.118,"Dlk1,Mcam,Ncam2,Ntn1,Smoc2,Sulf1,Susd2,Syt6"
"27","GO:0098552","side of membrane",481,2,0.6,30,0.11817,0.11817,"Dlk1,Mcam"
"28","GO:0030018","Z disc",116,1,0.14,31,0.13423,0.13423,"Pdlim1"
"29","GO:0031674","I band",127,1,0.16,32,0.14603,0.14603,"Pdlim1"
"30","GO:0005912","adherens junction",131,1,0.16,33,0.15029,0.15029,"Pdlim1"
"31","GO:0099080","supramolecular complex",1108,3,1.37,34,0.15388,0.15388,"Nynrin,Pdlim1,Tpm2"
"32","GO:0031225","anchored component of membrane",147,1,0.18,35,0.1671,0.1671,"Ncam2"
"33","GO:0099513","polymeric cytoskeletal fiber",610,2,0.75,36,0.17325,0.17325,"Pdlim1,Tpm2"
"34","GO:0016021","integral component of membrane",3891,7,4.81,37,0.18586,0.18586,"Dlk1,Mcam,Ncam2,Nynrin,Slc12a4,Susd2,Syt6"
"35","GO:0031224","intrinsic component of membrane",4023,7,4.98,38,0.21065,0.21065,"Dlk1,Mcam,Ncam2,Nynrin,Slc12a4,Susd2,Syt6"
"36","GO:0030424","axon",697,2,0.86,39,0.21259,0.21259,"Aldoc,Ncam2"
"37","GO:0036464","cytoplasmic ribonucleoprotein granule",206,1,0.25,40,0.22639,0.22639,"Nynrin"
"38","GO:0035770","ribonucleoprotein granule",217,1,0.27,41,0.237,0.237,"Nynrin"
"39","GO:0099699","integral component of synaptic membrane",220,1,0.27,42,0.23986,0.23986,"Syt6"
"40","GO:0061695","transferase complex, transferring phosphorus-containing groups",233,1,0.29,43,0.25217,0.25217,"Socs3"
"41","GO:0099240","intrinsic component of synaptic membrane",238,1,0.29,44,0.25686,0.25686,"Syt6"
"42","GO:0070382","exocytic vesicle",250,1,0.31,45,0.26798,0.26798,"Syt6"
"43","GO:0099512","supramolecular fiber",818,2,1.01,46,0.26875,0.26875,"Pdlim1,Tpm2"
"44","GO:0099081","supramolecular polymer",824,2,1.02,47,0.27156,0.27156,"Pdlim1,Tpm2"
"45","GO:0031012","extracellular matrix",447,4,0.55,4,0.30366,0.00197,"Loxl2,Ntn1,Olfml2b,Smoc2"
"46","GO:0016020","membrane",6881,10,8.51,48,0.32509,0.32509,"Dlk1,Loxl2,Mcam,Ncam2,Nynrin,Slc12a4,Socs3,Sulf1,Susd2,Syt6"
"47","GO:0030133","transport vesicle",322,1,0.4,49,0.33149,0.33149,"Syt6"
"48","GO:0005576","extracellular region",1668,9,2.06,1,0.36457,7.6e-05,"Dlk1,Loxl2,Mcam,Ntn1,Olfml2b,Smoc2,Sulf1,Susd2,Vash1"
"49","GO:0045121","membrane raft",363,1,0.45,51,0.36528,0.36528,"Sulf1"
"50","GO:0098857","membrane microdomain",364,1,0.45,52,0.36608,0.36608,"Sulf1"
"51","GO:0098589","membrane region",374,1,0.46,53,0.37406,0.37406,"Sulf1"
"52","GO:0005886","plasma membrane",4055,6,5.02,54,0.38637,0.38637,"Dlk1,Mcam,Ncam2,Sulf1,Susd2,Syt6"
"53","GO:0045177","apical part of cell",393,1,0.49,55,0.38896,0.38896,"Vash1"
"54","GO:0005667","transcription regulator complex",416,1,0.51,56,0.40655,0.40655,"Pdlim1"
"55","GO:0030054","cell junction",1936,3,2.4,57,0.43568,0.43568,"Aldoc,Pdlim1,Syt6"
"56","GO:0005911","cell-cell junction",457,1,0.57,58,0.43672,0.43672,"Pdlim1"
"57","GO:0097060","synaptic membrane",458,1,0.57,59,0.43744,0.43744,"Syt6"
"58","GO:0099503","secretory vesicle",495,1,0.61,60,0.46338,0.46338,"Syt6"
"59","GO:0098978","glutamatergic synapse",502,1,0.62,61,0.46815,0.46815,"Syt6"
"60","GO:0070161","anchoring junction",578,1,0.72,62,0.51749,0.51749,"Pdlim1"
"61","GO:0045202","synapse",1392,2,1.72,63,0.52384,0.52384,"Aldoc,Syt6"
"62","GO:0043005","neuron projection",1445,2,1.79,64,0.54478,0.54478,"Aldoc,Ncam2"
"63","GO:0048471","perinuclear region of cytoplasm",639,1,0.79,65,0.55391,0.55391,"Syt6"
"64","GO:0016604","nuclear body",665,1,0.82,66,0.56863,0.56863,"Ncam2"
"65","GO:1990904","ribonucleoprotein complex",666,1,0.82,67,0.56918,0.56918,"Mir7-1"
"66","GO:0110165","cellular anatomical entity",14440,19,17.87,50,0.59317,0.35517,"Aldoc,Dlk1,Loxl2,Mcam,Ncam2,Ntn1,Nynrin,Olfml2b,Pdlim1,Sbno2,Slc12a4,Smoc2,Socs3,Sulf1,Susd2,Syt6,Tbc1d8b,Tpm2,Vash1"
"67","GO:0098794","postsynapse",715,1,0.88,68,0.59564,0.59564,"Aldoc"
"68","GO:1990234","transferase complex",729,1,0.9,69,0.60291,0.60291,"Socs3"
"69","GO:0005829","cytosol",3301,4,4.08,70,0.60694,0.60694,"Aldoc,Socs3,Syt6,Tbc1d8b"
"70","GO:0000785","chromatin",762,1,0.94,71,0.61956,0.61956,"Loxl2"
"71","GO:0005737","cytoplasm",9830,12,12.16,72,0.62483,0.62483,"Aldoc,Dlk1,Loxl2,Ntn1,Nynrin,Pdlim1,Socs3,Sulf1,Syt6,Tbc1d8b,Tpm2,Vash1"
"72","GO:0005622","intracellular",12251,15,15.16,73,0.64925,0.64925,"Aldoc,Dlk1,Loxl2,Mcam,Ncam2,Ntn1,Nynrin,Pdlim1,Sbno2,Socs3,Sulf1,Syt6,Tbc1d8b,Tpm2,Vash1"
"73","GO:0012505","endomembrane system",3518,4,4.35,74,0.66208,0.66208,"Loxl2,Sulf1,Syt6,Vash1"
"74","GO:0005856","cytoskeleton",1990,2,2.46,75,0.72507,0.72507,"Pdlim1,Tpm2"
"75","GO:0098796","membrane protein complex",1053,1,1.3,76,0.74029,0.74029,"Socs3"
"76","GO:0098805","whole membrane",1089,1,1.35,77,0.75239,0.75239,"Sulf1"
"77","GO:0120025","plasma membrane bounded cell projection",2145,2,2.65,78,0.76476,0.76476,"Aldoc,Ncam2"
"78","GO:0005887","integral component of plasma membrane",1128,1,1.4,79,0.7649,0.7649,"Syt6"
"79","GO:0098590","plasma membrane region",1138,1,1.41,80,0.76801,0.76801,"Syt6"
"80","GO:0043232","intracellular non-membrane-bounded organelle",4056,4,5.02,81,0.77786,0.77786,"Loxl2,Nynrin,Pdlim1,Tpm2"
"81","GO:0043228","non-membrane-bounded organelle",4074,4,5.04,82,0.78119,0.78119,"Loxl2,Nynrin,Pdlim1,Tpm2"
"82","GO:0031226","intrinsic component of plasma membrane",1195,1,1.48,83,0.78501,0.78501,"Syt6"
"83","GO:0005694","chromosome",1209,1,1.5,84,0.78899,0.78899,"Loxl2"
"84","GO:0042995","cell projection",2356,2,2.92,85,0.81127,0.81127,"Aldoc,Ncam2"
"85","GO:1902494","catalytic complex",1297,1,1.6,86,0.8125,0.8125,"Socs3"
"86","GO:0005794","Golgi apparatus",1353,1,1.67,87,0.82614,0.82614,"Sulf1"
"87","GO:0032991","protein-containing complex",4722,4,5.84,88,0.87871,0.87871,"Mir7-1,Pdlim1,Socs3,Tpm2"
"88","GO:0005739","mitochondrion",1678,1,2.08,89,0.88848,0.88848,"Aldoc"
"89","GO:0031410","cytoplasmic vesicle",1724,1,2.13,90,0.89536,0.89536,"Syt6"
"90","GO:0097708","intracellular vesicle",1730,1,2.14,91,0.89623,0.89623,"Syt6"
"91","GO:0031982","vesicle",1850,1,2.29,92,0.9122,0.9122,"Syt6"
"92","GO:0043229","intracellular organelle",10841,11,13.41,93,0.91469,0.91469,"Aldoc,Loxl2,Mcam,Ncam2,Nynrin,Pdlim1,Sbno2,Sulf1,Syt6,Tpm2,Vash1"
"93","GO:0005654","nucleoplasm",3117,2,3.86,94,0.92053,0.92053,"Loxl2,Ncam2"
"94","GO:0043231","intracellular membrane-bounded organelle",9432,9,11.67,95,0.92396,0.92396,"Aldoc,Loxl2,Mcam,Ncam2,Nynrin,Sbno2,Sulf1,Syt6,Vash1"
"95","GO:0043226","organelle",11139,11,13.78,96,0.94005,0.94005,"Aldoc,Loxl2,Mcam,Ncam2,Nynrin,Pdlim1,Sbno2,Sulf1,Syt6,Tpm2,Vash1"
"96","GO:0005634","nucleus",6335,5,7.84,97,0.94118,0.94118,"Loxl2,Mcam,Ncam2,Nynrin,Sbno2"
"97","GO:0043227","membrane-bounded organelle",10054,9,12.44,98,0.96358,0.96358,"Aldoc,Loxl2,Mcam,Ncam2,Nynrin,Sbno2,Sulf1,Syt6,Vash1"
"98","GO:0031981","nuclear lumen",3737,2,4.62,99,0.96359,0.96359,"Loxl2,Ncam2"
"99","GO:0031974","membrane-enclosed lumen",4127,2,5.11,100,0.97845,0.97845,"Loxl2,Ncam2"
"100","GO:0070013","intracellular organelle lumen",4127,2,5.11,101,0.97845,0.97845,"Loxl2,Ncam2"
"101","GO:0043233","organelle lumen",4127,2,5.11,102,0.97845,0.97845,"Loxl2,Ncam2"
"102","GO:0005575","cellular_component",16163,20,20,103,1,1,"Aldoc,Dlk1,Loxl2,Mcam,Mir7-1,Ncam2,Ntn1,Nynrin,Olfml2b,Pdlim1,Sbno2,Slc12a4,Smoc2,Socs3,Sulf1,Susd2,Syt6,Tbc1d8b,Tpm2,Vash1"
"103","GO:0062023","collagen-containing extracellular matrix",336,3,0.42,5,1,0.00781,"Loxl2,Ntn1,Smoc2"
"104","GO:0000109","nucleotide-excision repair complex",13,0,0.02,104,1,1,""
"105","GO:0000118","histone deacetylase complex",74,0,0.09,105,1,1,""
"106","GO:0000123","histone acetyltransferase complex",77,0,0.1,106,1,1,""
"107","GO:0000124","SAGA complex",11,0,0.01,107,1,1,""
"108","GO:0000137","Golgi cis cisterna",12,0,0.01,108,1,1,""
"109","GO:0000138","Golgi trans cisterna",11,0,0.01,109,1,1,""
"110","GO:0000139","Golgi membrane",246,0,0.3,110,1,1,""
"111","GO:0000145","exocyst",17,0,0.02,111,1,1,""
"112","GO:0000151","ubiquitin ligase complex",274,0,0.34,112,1,1,""
"113","GO:0000152","nuclear ubiquitin ligase complex",41,0,0.05,113,1,1,""
"114","GO:0000153","cytoplasmic ubiquitin ligase complex",14,0,0.02,114,1,1,""
"115","GO:0000159","protein phosphatase type 2A complex",18,0,0.02,115,1,1,""
"116","GO:0000164","protein phosphatase type 1 complex",13,0,0.02,116,1,1,""
"117","GO:0000176","nuclear exosome (RNase complex)",14,0,0.02,117,1,1,""
"118","GO:0000177","cytoplasmic exosome (RNase complex)",13,0,0.02,118,1,1,""
"119","GO:0000178","exosome (RNase complex)",23,0,0.03,119,1,1,""
"120","GO:0000228","nuclear chromosome",782,0,0.97,120,1,1,""
"121","GO:0000235","astral microtubule",11,0,0.01,121,1,1,""
"122","GO:0000242","pericentriolar material",22,0,0.03,122,1,1,""
"123","GO:0000307","cyclin-dependent protein kinase holoenzyme complex",41,0,0.05,123,1,1,""
"124","GO:0000313","organellar ribosome",91,0,0.11,124,1,1,""
"125","GO:0000314","organellar small ribosomal subunit",30,0,0.04,125,1,1,""
"126","GO:0000315","organellar large ribosomal subunit",59,0,0.07,126,1,1,""
"127","GO:0000323","lytic vacuole",406,0,0.5,127,1,1,""
"128","GO:0000346","transcription export complex",10,0,0.01,128,1,1,""
"129","GO:0000407","phagophore assembly site",27,0,0.03,129,1,1,""
"130","GO:0000421","autophagosome membrane",21,0,0.03,130,1,1,""
"131","GO:0000428","DNA-directed RNA polymerase complex",95,0,0.12,131,1,1,""
"132","GO:0000439","transcription factor TFIIH core complex",10,0,0.01,132,1,1,""
"133","GO:0000502","proteasome complex",62,0,0.08,133,1,1,""
"134","GO:0000775","chromosome, centromeric region",188,0,0.23,134,1,1,""
"135","GO:0000776","kinetochore",129,0,0.16,135,1,1,""
"136","GO:0000777","condensed chromosome kinetochore",35,0,0.04,136,1,1,""
"137","GO:0000778","condensed nuclear chromosome kinetochore",18,0,0.02,137,1,1,""
"138","GO:0000779","condensed chromosome, centromeric region",53,0,0.07,138,1,1,""
"139","GO:0000780","condensed nuclear chromosome, centromeric region",32,0,0.04,139,1,1,""
