,4
0,Gene Symbol
1,Pole4
2,Spata2
3,Arid4a
4,Fam131b
5,Sp1
6,Gtf2a1
7,Ide
8,Rsbn1
9,Rnf141
10,Nrep
11,Mapkap1
12,Atp2b2
13,Parp1
14,Snca
15,Rnf41
16,Ckap4
17,Itga4
18,Lzts3
19,Ptgfrn
20,Tmem173
21,Ipo11
22,Zfp248
23,Hdlbp
24,Pilra
25,Klf4
26,Pan2
27,Gal3st3
28,Prkcb
29,Rsbn1l
30,Ctsb
31,Asxl1
32,Nr4a3
33,Bcorl1
34,Cnppd1
35,Kdm3b
36,Chd3
37,Mapk4
38,Pde4a
39,Gkn1
40,Mknk1
41,Fam168b
42,Casp9
43,Clasp2
44,Ssbp2
45,Ints10
46,Pfn2
47,Oxr1
48,Cdon
49,Gm10696
50,Strn3
51,Fndc4
52,Rab5if
53,Adcy9
54,Hhip
55,Rgs7bp
56,Pcnx2
57,Edar
58,Adgrl2
59,Champ1
60,Itch
61,Zbtb4
62,Ezh1
63,Bloc1s4
64,Pom121l2
65,Rnf144a
66,Raf1
67,Sh3glb1
68,Smim12
69,B3gnt6
70,Slc17a1
71,Atf7
72,Vdac3
73,Dkk3
74,Zfp287
75,Ddit4
76,Wdr47
77,Nr1h2
78,Zc3h4
79,Kif16b
80,Wipf2
81,Rb1
82,Plxna1
83,Gmeb1
84,Chsy3
85,Smg1
86,Ccdc120
87,Adgre4
88,Rras2
89,Fam168a
90,Tmem230
91,Slc38a2
92,Tcf12
93,Socs2
94,Smyd5
95,Xpo7
96,Cct4
97,Atp10a
98,Esr2
99,Fbxw2
100,Herpud2
101,Ublcp1
102,Vps26a
103,Megf9
104,Rgs8
105,Ids
106,Susd6
107,Dach1
108,Tbx20
109,Klf12
110,Fbxo28
111,Cnnm4
112,Kif13a
113,Crls1
114,Crebrf
115,Spert
116,Dync1li2
117,Mlh3
118,Usp40
119,Mobp
120,Fam53c
121,Pik3cd
122,Wfdc1
123,Mapk12
124,Acsl4
125,Anapc11
126,Mtmr1
127,Iglon5
128,Adamts8
129,Ogt
130,Psme3
131,Snhg11
132,Nfic
133,Mcc
134,Zfp93
135,Slc6a9
136,Kcna1
137,Tmed9
138,Tex261
139,Jade1
140,Hcn1
141,Pdha1
142,Spty2d1
143,H2-Ob
144,Elmo1
145,Rps6kb1
146,Fbln7
147,Slc25a25
148,Gjc1
149,Frrs1l
150,Tmco4
151,Osbpl11
152,Stxbp6
153,Cat
154,Dgki
155,Nr2c1
156,Tmeff2
157,Cntnap1
158,Arih1
159,Eif4ebp2
160,Zkscan8
